
Summary,CR
Emissions
,HFC152a_IPPU,1673.07
,HFC32_IPPU,2075.71
,CO2e_IPPU,7.44096e+07
,HFC23_IPPU,0.434043
,HFC143a_IPPU,1762.89
,CO2_IPPU,3.04773e+07
,HFC125_IPPU,5872.51
,HFC134a_IPPU,11646.1
,SF6_IPPU,3.06042

Cost,0

TID Demand

,CR
Fuel,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GLASS_PROD,All,0,0,109.619,135.476,140.08,151.846,160.131,166.894,173.549,178.699,183.608,188.236,192.46,196.246,199.744,203.089,206.451,209.687,212.761,215.545,218.015,220.252,222.142,223.733,224.951,225.861,226.297,226.733,227.17,227.609,228.048,228.488,228.928
CARBONATE,All,0,0,16.0031,14.1473,14.628,15.8567,16.7219,17.4282,18.1231,18.6609,19.1735,19.6568,20.0979,20.4933,20.8586,21.2079,21.559,21.8969,22.2179,22.5087,22.7667,23.0003,23.1976,23.3638,23.491,23.586,23.6315,23.6771,23.7228,23.7686,23.8145,23.8604,23.9064
NITRIC_ACID,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARBIDE_PROD,All,0,0,90.9091,172.727,178.596,193.598,204.162,212.785,221.269,227.835,234.094,239.995,245.38,250.208,254.667,258.932,263.219,267.344,271.262,274.813,277.962,280.815,283.223,285.252,286.805,287.965,288.521,289.077,289.635,290.194,290.753,291.314,291.876
LUBRI_OILS,All,0,0,20301.9,18266.6,18887.3,20473.8,21590.9,22502.8,23400.1,24094.5,24756.4,25380.4,25949.9,26460.5,26932.1,27383.1,27836.4,28272.7,28687.1,29062.5,29395.6,29697.3,29952,30166.6,30330.8,30453.5,30512.2,30571.1,30630.1,30689.2,30748.4,30807.7,30867.1
LUBRI_GREASE,All,0,0,0,67.8426,70.1478,76.04,80.189,83.5759,86.9084,89.4873,91.9454,94.2633,96.3784,98.2745,100.026,101.701,103.385,105.005,106.544,107.939,109.176,110.296,111.242,112.039,112.649,113.105,113.323,113.542,113.761,113.98,114.2,114.42,114.641
PARAFFIN,All,0,0,322.252,220.488,227.981,247.13,260.615,271.622,282.453,290.834,298.823,306.356,313.231,319.393,325.086,330.53,336.002,341.267,346.27,350.802,354.822,358.463,361.538,364.128,366.11,367.591,368.3,369.011,369.723,370.436,371.15,371.866,372.584
REFR_AC_HFC32,All,33189.9,35972,39077.1,47822.9,49999.5,52555.4,54826.5,56814.9,58959.6,60251.3,61473.1,62617.2,63654.5,64579,65428.8,66237.7,67047.3,67823,68557,69219.4,69805,70333.9,70779.3,71153.6,71439.6,71652.9,71755,71857.1,71959.5,72062,72164.6,72267.4,72370.3
REFR_AC_HFC125,All,91247.5,107313,123318,134685,140815,148013,154409,160009,166049,169687,173128,176350,179272,181876,184269,186547,188827,191012,193079,194944,196594,198083,199337,200392,201197,201798,202085,202373,202661,202950,203239,203528,203818
REFR_AC_HFC134a,All,256074,265482,259575,264092,276112,290227,302768,313749,325593,332726,339473,345791,351519,356625,361318,365785,370255,374539,378592,382250,385485,388405,390865,392932,394511,395689,396253,396817,397382,397948,398515,399082,399651
REFR_AC_HFC143a,All,37216.9,42079.8,39506.6,39962.4,41781.3,43917.2,45814.9,47476.5,49268.7,50348.1,51369.1,52325.1,53191.9,53964.5,54674.6,55350.6,56027,56675.2,57288.6,57842.1,58331.5,58773.5,59145.6,59458.5,59697.4,59875.7,59960.9,60046.3,60131.9,60217.5,60303.3,60389.1,60475.1
REFR_AC_HFC152a,All,12642.8,15757.6,16670.6,18217.8,19047,20020.7,20885.8,21643.3,22460.3,22952.3,23417.8,23853.6,24248.8,24601,24924.7,25232.8,25541.2,25836.7,26116.3,26368.7,26591.8,26793.3,26962.9,27105.5,27214.4,27295.7,27334.6,27373.5,27412.5,27451.5,27490.6,27529.8,27569
REFR_AC_HFC23,All,3.4514,8.4177,33.5732,9.4457,9.8756,10.3804,10.829,11.2217,11.6453,11.9004,12.1417,12.3677,12.5726,12.7552,12.923,13.0828,13.2427,13.3959,13.5409,13.6717,13.7874,13.8919,13.9799,14.0538,14.1103,14.1524,14.1726,14.1928,14.213,14.2332,14.2535,14.2738,14.2941
FIRE_PROT_HFC125,All,0,0,0,233.439,244.063,256.54,267.625,277.331,287.801,294.106,300.07,305.654,310.718,315.231,319.379,323.327,327.279,331.065,334.648,337.882,340.741,343.322,345.496,347.324,348.719,349.761,350.259,350.758,351.257,351.757,352.258,352.76,353.262
AEROSOLS_HFC152a,All,0,0,2000,1905.8,1992.54,2094.4,2184.9,2264.14,2349.61,2401.08,2449.78,2495.37,2536.71,2573.55,2607.42,2639.65,2671.91,2702.83,2732.08,2758.47,2781.81,2802.89,2820.64,2835.56,2846.95,2855.45,2859.52,2863.59,2867.67,2871.75,2875.84,2879.94,2884.04
FLUOR_GLASS_HFC152a,All,0,0,17913,18963.8,19826.9,20840.4,21741,22529.5,23380,23892.2,24376.7,24830.4,25241.7,25608.3,25945.3,26266,26587.1,26894.7,27185.7,27448.4,27680.6,27890.3,28067,28215.4,28328.8,28413.4,28453.9,28494.4,28535,28575.6,28616.3,28657,28697.9
SF6_USE,All,0,0,43.9331,71.0042,73.4169,75.6194,79.7455,83.1136,86.4277,88.9924,91.4369,93.742,95.8454,97.731,99.473,101.139,102.813,104.424,105.955,107.342,108.572,109.686,110.627,111.42,112.026,112.479,112.696,112.914,113.131,113.35,113.568,113.787,114.007
CEM_PROD,All,0,0,1817.66,2096.37,1993.31,2262.38,2340.63,2407.58,2479.58,2496.85,2512.95,2527.81,2541.13,2552.86,2563.54,2573.61,2583.61,2593.11,2602.03,2610.02,2617.04,2623.35,2628.63,2633.05,2636.41,2638.91,2640.11,2641.3,2642.5,2643.69,2644.89,2646.09,2647.29
E5INDCEM_PROD,All,0,0,1817.66,2096.37,1993.31,2262.38,2340.63,2407.58,2479.58,2496.85,2512.95,2527.81,2541.13,2552.86,2563.54,2573.61,2583.61,2593.11,2602.03,2610.02,2617.04,2623.35,2628.63,2633.05,2636.41,2638.91,2640.11,2641.3,2642.5,2643.69,2644.89,2646.09,2647.29
E5IPPULIME_PROD,All,0,0,2.1467,2.1467,2.0412,2.3167,2.3968,2.4654,2.5391,2.5568,2.5733,2.5885,2.6021,2.6141,2.625,2.6353,2.6455,2.6552,2.6643,2.6725,2.6797,2.6862,2.6916,2.6961,2.6995,2.7021,2.7033,2.7045,2.7057,2.7069,2.7081,2.7093,2.7105
E5IPPUGLASS_PROD,All,0,0,109.619,135.476,140.08,151.846,160.131,166.894,173.549,178.699,183.608,188.236,192.46,196.246,199.744,203.089,206.451,209.687,212.761,215.545,218.015,220.252,222.142,223.733,224.951,225.861,226.297,226.733,227.17,227.609,228.048,228.488,228.928
E5IPPUCARBONATE,All,0,0,16.0031,14.1473,14.628,15.8567,16.7219,17.4282,18.1231,18.6609,19.1735,19.6568,20.0979,20.4933,20.8586,21.2079,21.559,21.8969,22.2179,22.5087,22.7667,23.0003,23.1976,23.3638,23.491,23.586,23.6315,23.6771,23.7228,23.7686,23.8145,23.8604,23.9064
E5IPPUNITRIC_ACID,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5IPPUCARBIDE_PROD,All,0,0,90.9091,172.727,178.596,193.598,204.162,212.785,221.269,227.835,234.094,239.995,245.38,250.208,254.667,258.932,263.219,267.344,271.262,274.813,277.962,280.815,283.223,285.252,286.805,287.965,288.521,289.077,289.635,290.194,290.753,291.314,291.876
E5IPPULUBRI_OILS,All,0,0,20301.9,18266.6,18887.3,20473.8,21590.9,22502.8,23400.1,24094.5,24756.4,25380.4,25949.9,26460.5,26932.1,27383.1,27836.4,28272.7,28687.1,29062.5,29395.6,29697.3,29952,30166.6,30330.8,30453.5,30512.2,30571.1,30630.1,30689.2,30748.4,30807.7,30867.1
E5IPPULUBRI_GREASE,All,0,0,0,67.8426,70.1478,76.04,80.189,83.5759,86.9084,89.4873,91.9454,94.2633,96.3784,98.2745,100.026,101.701,103.385,105.005,106.544,107.939,109.176,110.296,111.242,112.039,112.649,113.105,113.323,113.542,113.761,113.98,114.2,114.42,114.641
E5IPPUPARAFFIN,All,0,0,322.252,220.488,227.981,247.13,260.615,271.622,282.453,290.834,298.823,306.356,313.231,319.393,325.086,330.53,336.002,341.267,346.27,350.802,354.822,358.463,361.538,364.128,366.11,367.591,368.3,369.011,369.723,370.436,371.15,371.866,372.584
