Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,INORG_RCY_OS,,2018,,0.1339,0.1339,0.1339,0.1339,,,4.92083,4.92083,,,8.4357,8.11726,8.4357,,5.82274,,,,-7.4984,-7.21534,,8.4334,,14.4573,14.4573,,8.056623701272494e-05,,0.00013811340882904794,0.00013811340882904794,
BAU,0,,INORG_RCY_OS,,2019,,0.1442,0.1442,0.1442,0.1442,,,5.29935,4.90681,,,9.0846,8.09413,9.0846,,5.80615,,,,-8.0752,-7.19478,,8.4094,,14.4161,14.4161,,8.481285601202282e-05,,0.000145393467449182,0.000145393467449182,
BAU,0,,INORG_RCY_OS,,2020,,0.1544,0.1544,0.1544,0.1544,,,5.6742,4.86471,,,9.7272,8.02469,9.7272,,5.75634,,,,-8.6464,-7.13306,,8.3373,,14.2924,14.2924,,9.469457875717398e-05,,0.00016233356358372683,0.00016233356358372683,
BAU,0,,INORG_RCY_OS,,2021,,0.1647,0.1647,0.1647,0.1647,,,6.05273,4.80485,,,10.3761,7.92594,10.3761,,5.68551,,,,-9.2232,-7.04528,,8.2347,,14.1166,14.1166,,9.722013746853736e-05,,0.00016666295512723851,0.00016666295512723851,
BAU,0,,INORG_RCY_OS,,2022,,0.175,0.175,0.175,0.175,,,6.43125,4.72716,,,11.025,7.79779,11.025,,5.59358,,,,-9.8,-6.93137,,8.1015,,13.8883,13.8883,,9.961427195334417e-05,,0.00017076732334859,0.00017076732334859,
BAU,0,,INORG_RCY_OS,,2023,,0.1816,0.1816,0.1816,0.1816,,,6.6738,4.54208,,,11.4408,7.49248,11.4408,,5.37457,,,,-10.1696,-6.65998,,7.7843,,13.3445,13.3445,,0.0001003603427835079,,0.00017204630191458497,0.00017204630191458497,
BAU,0,,INORG_RCY_OS,,2024,,0.1885,0.1885,0.1885,0.1885,,,6.92737,4.36542,,,11.8755,7.20108,11.8755,,5.16554,,,,-10.556,-6.40096,,7.4816,,12.8255,12.8255,,0.00010113933835284437,,0.0001733818480331213,0.0001733818480331213,
BAU,0,,INORG_RCY_OS,,2025,,0.1957,0.1957,0.1957,0.1957,,,7.19197,4.19645,,,12.3291,6.92234,12.3291,,4.9656,,,,-10.9592,-6.1532,,7.192,,12.3291,12.3291,,0.00010194416338106294,,0.00017476154443656785,0.00017476154443656785,
BAU,0,,INORG_RCY_OS,,2026,,0.2032,0.2032,0.2032,0.2032,,,7.4676,4.03451,,,12.8016,6.65522,12.8016,,4.77398,,,,-11.3792,-5.91575,,6.9144,,11.8533,11.8533,,0.0001027680985883279,,0.0001761738832942764,0.0001761738832942764,
BAU,0,,INORG_RCY_OS,,2027,,0.2109,0.2109,0.2109,0.2109,,,7.75057,3.87722,,,13.2867,6.39575,13.2867,,4.58786,,,,-11.8104,-5.68511,,6.6449,,11.3912,11.3912,,0.00010355562461883707,,0.00017752404244114983,0.00017752404244114983,
BAU,0,,INORG_RCY_OS,,2028,,0.2189,0.2189,0.2189,0.2189,,,8.04457,3.72619,,,13.7907,6.14663,13.7907,,4.40915,,,,-12.2584,-5.46367,,6.386,,10.9475,10.9475,,0.00010435317324045709,,0.00017889126531401572,0.00017889126531401572,
