Source,File,Region,Country,Variable_Main,Variable_Disag,Set,Year,Value
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Self-producers,Other secondary,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Self-producers,Non-energy,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Self-producers,Total secondary,2018,54.529054630725845
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Self-producers,Total,2018,-87.95163257589088
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Natural Gas,2018,-194.60557668263507
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Coal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Hydro,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Geothermal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Nuclear,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Firewood,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Sugar cane and derivatives,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Other primary sources,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Total primary sources,2018,-194.60557668263507
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Electricity,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Liquified Gas,2018,80.38552043483658
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Gasoline and alcohol,2018,40.980438054388095
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Kerose and jet fuel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Diesel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Fuel Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Coke,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Charcoal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Gases,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Other secondary,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Non-energy,2018,73.24872490923651
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Total secondary,2018,194.61468339846115
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Gas centers,Total,2018,0.009106715826108539
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Natural Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Coal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Hydro,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Geothermal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Nuclear,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Firewood,2018,-17.48103991510424
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Sugar cane and derivatives,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Other primary sources,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Total primary sources,2018,-17.48103991510424
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Electricity,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Liquified Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Gasoline and alcohol,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Kerose and jet fuel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Diesel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Fuel Oil,2018,0.0
